# compound id (and file prefix), SMILES, iupac name (or alternative if IUPAC is unavailable or not parseable by OEChem), experimental value (kcal/mol), experimental uncertainty (kcal/mol), Mobley group calculated value (GAFF) (kcal/mol), calculated uncertainty (kcal/mol), experimental reference (original or paper this value was taken from), calculated reference, text notes.,dG (TF),std (TF),dG (TF) lrc,lrc,lrc std,lrc diff,nr intst,nr waters,box length,diff,diff GAFF,functional group
mobley_2960202, c1c2c(cc(c1Cl)Cl)Oc3c(c(c(c(c3Cl)Cl)Cl)Cl)O2," 1,2,3,4,7,8-hexachlorodibenzo-p-dioxin",-3.71,1,-1.88,0.04, 10.1007/s10822-012-9568-8, 10.1021/acs.jced.7b00104," Experimental uncertainty not presently available, so assigned a default value.  ",-3.12,0.13,-4.14,-1.02,0.02,0.43,26,1213,34,0.59,1.83,diaryl ether
mobley_296847, c1ccncc1, pyridine,-4.69,0.6,-3.51,0.02, 10.1021/ct050097l, 10.1021/acs.jced.7b00104," Experimental uncertainty not presently available, so assigned a default value.  ",-4.49,0.05,-4.76,-0.27,0.01,0.07,12,669,28,0.2,1.18,aromatic
mobley_2972345, c1ccc2c(c1)Cc3ccccc3C2," 9,10-dihydroanthracene",-3.78,0.1,-4.3,0.04, SAMPL4_Guthrie, 10.1021/acs.jced.7b00104," Experimental uncertainty not presently available, so assigned a default value.  ",-2.44,0.08,-3.18,-0.74,0.01,0.6,20,841,30,1.34,0.52,aromatic
mobley_2972906, c1ccsc1, thiophene,-1.4,0.2,-0.36,0.02, 10.1039/P29900000291, 10.1021/acs.jced.7b00104, Experimental uncertainty as suggested by 10.1039/P29900000291 -- 0.2 kcal/mol.  ,-1.93,0.03,-2.26,-0.33,0.01,0.86,11,670,28,0.53,1.04,aromatic
mobley_299266, CC(=C)C, 2-methylprop-1-ene,1.16,0.6,2.33,0.02, 10.1021/ct050097l, 10.1021/acs.jced.7b00104," Experimental uncertainty not presently available, so assigned a default value.  ",1.39,0.05,1.17,-0.22,0.02,0.01,10,670,28,0.23,1.17,alkene
mobley_3006808, C(C(F)(F)F)O," 2,2,2-trifluoroethanol",-4.31,0.6,-3.81,0.02, 10.1039/F19736901577, 10.1021/acs.jced.7b00104," Experimental uncertainty not presently available, so assigned a default value.  ",-3.05,0.04,-3.25,-0.2,0.01,1.06,12,668,28,1.26,0.5,primary alcohol
mobley_303222, CC=C, prop-1-ene,1.32,0.6,2.33,0.02, 10.1021/ct050097l, 10.1021/acs.jced.7b00104," Experimental uncertainty not presently available, so assigned a default value.  ",1.43,0.03,1.27,-0.16,0.03,0.05,9,671,28,0.11,1.01,alkene
mobley_3034976, CC(=O)O, acetic acid,-6.69,0.6,-7.28,0.02, 10.1021/ct050097l, 10.1021/acs.jced.7b00104," Experimental uncertainty not presently available, so assigned a default value.  ",-4.75,0.2,-4.93,-0.18,0.02,1.76,10,669,28,1.94,0.59,carboxylic acid
mobley_3040612, CCc1ccccc1C, 1-ethyl-2-methylbenzene,-0.85,0.1,-0.76,0.03, SAMPL4_Guthrie, 10.1021/acs.jced.7b00104," Experimental uncertainty not presently available, so assigned a default value.  ",0.39,0.12,-0.1,-0.49,0.02,0.75,15,666,28,1.24,0.09,aromatic
mobley_3047364, CCNc1nc(nc(n1)SC)NC(C)C," 2-N-ethyl-6-(methylsulfanyl)-4-N-(propan-2-yl)-1,3,5-triazine-2,4-diamine",-7.65,0.45,-10.55,0.04, 10.1021/jp806724u, 10.1021/acs.jced.7b00104," Experimental uncertainty not presently available, so assigned a default value.  Changed IUPAC name from ametryn to 2-N-ethyl-6-(methylsulfanyl)-4-N-(propan-2-yl)-1,3,5-triazine-2,4-diamine for better handling/standardization.  ",-2.73,0.17,-3.55,-0.82,0.02,4.1,21,906,31,4.92,2.9,thioether
mobley_3053621, c1ccccc1, benzene,-0.9,0.2,-0.81,0.02, 10.1039/P29900000291, 10.1021/acs.jced.7b00104, Experimental uncertainty as suggested by 10.1039/P29900000291 -- 0.2 kcal/mol.  ,-0.2,0.03,-0.5,-0.3,0.02,0.4,12,669,28,0.7,0.09,aromatic
mobley_3060426, CC(C)CCC(C)(C)C," 2,2,5-trimethylhexane",2.93,0.6,2.97,0.03, 10.1021/ct050097l, 10.1021/acs.jced.7b00104," Experimental uncertainty not presently available, so assigned a default value.  ",3.67,0.1,3.15,-0.52,0.01,0.22,15,663,28,0.74,0.04,alkane
mobley_3083321, COCOC, dimethoxymethane,-2.93,0.2,-3.22,0.04, 10.1021/jm070549+, 10.1021/acs.jced.7b00104," Topology and coordinate files re-generated 10/9/13 from original .mol2 files.  Experimental uncertainty not presently available, so assigned a default value.  Experimental uncertainty estimate updated to 0.2 as of v0.2 to match uncertainty estimate given in Nicholls et al. paper.  ",-2.73,0.05,-2.97,-0.24,0.01,0.04,11,670,28,0.2,0.29,acetal
mobley_3105103, Cc1c(c(=O)n(c(=O)[nH]1)C(C)(C)C)Cl, terbacil,-11.14,1.93,-13.77,0.04, 10.1021/jp806724u, 10.1021/acs.jced.7b00104," Experimental uncertainty not presently available, so assigned a default value.  ",-9.78,0.27,-10.58,-0.8,0.01,0.56,20,745,29,1.36,2.63,aryl chloride
mobley_313406, CCCO, propan-1-ol,-4.85,0.6,-3.33,0.02, 10.1021/ct050097l, 10.1021/acs.jced.7b00104," Experimental uncertainty not presently available, so assigned a default value.  ",-4.07,0.04,-4.28,-0.21,0.01,0.57,10,669,28,0.78,1.52,primary alcohol
mobley_3144334, Cc1ccc(c(c1)O)C," 2,5-dimethylphenol",-5.91,0.6,-5.01,0.03, 10.1021/ct050097l, 10.1021/acs.jced.7b00104," Experimental uncertainty not presently available, so assigned a default value.  ",-3.78,0.13,-4.29,-0.51,0.01,1.62,15,666,28,2.13,0.9,phenol or hydroxyhetarene
mobley_3151666, CCCCCCCCCCO, decan-1-ol,-3.64,0.6,-2.45,0.04, 10.1021/ct050097l, 10.1021/acs.jced.7b00104," Experimental uncertainty not presently available, so assigned a default value.  ",-2.81,0.15,-3.41,-0.6,0.03,0.23,17,842,30,0.83,1.19,primary alcohol
mobley_3167746, CCCCCCCC, octane,2.88,0.6,3.09,0.03, 10.1021/ct050097l, 10.1021/acs.jced.7b00104," Experimental uncertainty not presently available, so assigned a default value.  ",3.31,0.09,2.87,-0.44,0.03,0.01,14,749,29,0.43,0.21,alkane
mobley_3169935, c1ccc(c(c1)N)Cl, 2-chloroaniline,-4.91,0.6,-4.85,0.03, 10.1021/ct050097l, 10.1021/acs.jced.7b00104," Experimental uncertainty not presently available, so assigned a default value.  ",-3.57,0.06,-4.01,-0.44,0,0.9,14,666,28,1.34,0.06,primary amine
mobley_3183805, Cc1ccc(c(c1)C)C," 1,2,4-trimethylbenzene",-0.86,0.6,-0.8,0.03, 10.1021/ct050097l, 10.1021/acs.jced.7b00104," Experimental uncertainty not presently available, so assigned a default value.  ",0.37,0.05,-0.13,-0.5,0.01,0.73,15,666,28,1.23,0.06,aromatic
mobley_3187514, Cc1ccccc1N, 2-methylaniline,-5.53,0.6,-5.33,0.03, 10.1021/ct050097l, 10.1021/acs.jced.7b00104," Experimental uncertainty not presently available, so assigned a default value.  ",-4.84,0.04,-5.29,-0.45,0.01,0.24,14,667,28,0.69,0.2,primary amine
mobley_3201701, Cc1c(nc(nc1OC(=O)N(C)C)N(C)C)C, pirimor,-9.41,1.93,-13.87,0.04, 10.1021/jp806724u, 10.1021/acs.jced.7b00104," Experimental uncertainty not presently available, so assigned a default value.  Changed IUPAC name from pirimor to 2-(dimethylamino)-5,6-dimethylpyrimidin-4-yl N,N-dimethylcarbamate for better handling/standardization.  ",-11.44,0.16,-12.37,-0.93,0.02,2.96,23,998,32,2.03,4.46,tertiary amine
mobley_3210206, C[C@@H](CO[N+](=O)[O-])O[N+](=O)[O-]," 1,2-dinitroxypropane",-4.95,0.1,-5.65,0.04, 10.1021/jp806724u, 10.1021/acs.jced.7b00104," Experimental uncertainty not presently available, so assigned a default value.  ",-3.09,0.49,-3.59,-0.5,0.01,1.36,17,664,28,1.86,0.7,nitrate
mobley_3211679, C1CCC=CC1, cyclohexene,0.14,0.1,1.18,0.02, SAMPL4_Guthrie, 10.1021/acs.jced.7b00104," Experimental uncertainty not presently available, so assigned a default value.  ",0.81,0.04,0.49,-0.32,0.02,0.35,12,668,28,0.67,1.04,alkene
mobley_3234716, Cc1ccc(cc1)C, p-xylene,-0.8,0.6,-0.66,0.03, 10.1021/ct050097l, 10.1021/acs.jced.7b00104," Experimental uncertainty not presently available, so assigned a default value.  ",0.34,0.02,-0.08,-0.42,0.01,0.72,14,668,28,1.14,0.14,aromatic
mobley_3259411, C(C(CO)O)O, glycerol,-13.43,1,-10.14,0.04, 10.1007/s10822-010-9350-8, 10.1021/acs.jced.7b00104," Experimental uncertainty not presently available, so assigned a default value.  ",-11.2,0.07,-11.51,-0.31,0.01,1.92,12,668,28,2.23,3.29,primary alcohol
mobley_3264884, c1ccc2cc(ccc2c1)N, naphthalen-2-amine,-7.47,0.6,-8,0.03, 10.1021/ct050097l, 10.1021/acs.jced.7b00104," Experimental uncertainty not presently available, so assigned a default value.  ",-5.41,0.1,-5.98,-0.57,0.01,1.49,17,750,29,2.06,0.53,primary amine
mobley_3265457, COc1cc(c(c(c1O)OC)Cl)C=O, 2-chlorosyringaldehyde,-7.78,0.77,-8.29,0.06, SAMPL4_Guthrie, 10.1021/acs.jced.7b00104," Experimental uncertainty not presently available, so assigned a default value.  ",-9.65,0.45,-10.32,-0.67,0.02,2.54,20,747,29,1.87,0.51,aldehyde
mobley_3266352, CN(CC(F)(F)F)c1ccccc1," N-methyl-N-(2,2,2-trifluoroethyl)aniline",-1.92,0.6,-3.96,0.03, 10.1139/v93-262, 10.1021/acs.jced.7b00104," Experimental uncertainty not presently available, so assigned a default value.  ",-1.57,0.05,-2.13,-0.56,0.02,0.21,19,660,28,0.35,2.04,tertiary amine
mobley_3269565, CC(C)OC, 2-methoxypropane,-2.01,0.6,-0.66,0.02, 10.1021/ct050097l, 10.1021/acs.jced.7b00104," Experimental uncertainty not presently available, so assigned a default value.  ",-0.4,0.07,-0.63,-0.23,0.01,1.38,11,668,28,1.61,1.35,dialkyl ether
mobley_3269819, c1c(cc(c(c1Cl)Cl)Cl)c2cc(c(c(c2Cl)Cl)Cl)Cl," 1,2,3,4-tetrachloro-5-(3,4,5-trichlorophenyl)benzene",-3.17,0.1,-0.82,0.04, 10.1007/s10822-012-9568-8, 10.1021/acs.jced.7b00104," Experimental uncertainty not presently available, so assigned a default value.  ",-3.33,0.17,-4.37,-1.04,0.04,1.2,25,1210,34,0.16,2.35,aryl chloride
mobley_3274817, CC[C@@H](C)c1cc(cc(c1O)[N+](=O)[O-])[N+](=O)[O-]," 2-[(1R)-1-methylpropyl]-4,6-dinitro-phenolate",-6.23,1.93,-5.38,0.04, 10.1021/jp806724u, 10.1021/acs.jced.7b00104," Experimental uncertainty not presently available, so assigned a default value.  Changed IUPAC name from dinoseb to 2-[(1R)-1-methylpropyl]-4,6-dinitro-phenolate for better handling/standardization.  ",-7.83,0.08,-8.72,-0.89,0.01,2.49,23,657,28,1.6,0.85,phenol or hydroxyhetarene
mobley_3318135, CCCCC(=O)CCCC, nonan-5-one,-2.64,0.6,-2.36,0.03, 10.1021/ct050097l, 10.1021/acs.jced.7b00104," Experimental uncertainty not presently available, so assigned a default value.  ",-2.27,0.1,-2.8,-0.53,0.01,0.16,16,665,28,0.37,0.28,ketone
mobley_3323117, C1CC[S+2](C1)([O-])[O-], sulfolane,-8.61,0.31,-9.62,0.03, 10.1007/s10822-010-9350-8, 10.1021/acs.jced.7b00104," Experimental uncertainty not presently available, so assigned a default value.  ",-9.45,0.07,-9.89,-0.44,0.01,1.28,13,668,28,0.84,1.01,cation
mobley_3325209, COC(c1ccccc1)(OC)OC, trimethoxymethylbenzene,-4.04,0.6,-5.56,0.04, 10.1139/v80-201, 10.1021/acs.jced.7b00104," Experimental uncertainty not presently available, so assigned a default value.  ",-3.26,0.11,-3.88,-0.62,0.01,0.16,19,661,28,0.78,1.52,orthocarboxylic acid derivative
mobley_3359593, CCCc1ccc(c(c1)OC)O, 4-propylguaiacol,-5.26,0.18,-4.13,0.05, SAMPL4_Guthrie, 10.1021/acs.jced.7b00104," Experimental uncertainty not presently available, so assigned a default value.  ",-3.29,0.16,-3.92,-0.63,0.01,1.34,18,748,29,1.97,1.13,phenol or hydroxyhetarene
mobley_3370989, CC(F)F," 1,1-difluoroethane",-0.11,0.6,0.23,0.02, 10.1021/ct050097l, 10.1021/acs.jced.7b00104," Experimental uncertainty not presently available, so assigned a default value.  ",0.46,0.02,0.33,-0.13,0.01,0.44,10,670,28,0.57,0.34,alkyl fluoride
mobley_337666, c1c(c(=O)[nH]c(=O)[nH]1)F, 5-fluorouracil,-16.92,0.88,-16.37,0.03, 10.1007/s10822-010-9350-8, 10.1021/acs.jced.7b00104," Experimental uncertainty not presently available, so assigned a default value.  Changed IUPAC name from 5-flurouracil to 5-fluorouracil for better handling/standardization.  ",-14.48,0.07,-14.91,-0.43,0.03,2.01,15,667,28,2.44,0.55,aryl fluoride
mobley_3378420, CCCCCCCCCO, nonan-1-ol,-3.88,0.6,-2.56,0.03, 10.1021/ct050097l, 10.1021/acs.jced.7b00104," Experimental uncertainty not presently available, so assigned a default value.  ",-2.96,0.09,-3.5,-0.54,0.01,0.38,16,747,29,0.92,1.32,primary alcohol
mobley_3395921, C1CCOCC1, tetrahydropyran,-3.12,0.6,-1.81,0.02, 10.1021/ct050097l, 10.1021/acs.jced.7b00104," Experimental uncertainty not presently available, so assigned a default value.  ",-2.46,0.07,-2.78,-0.32,0.01,0.34,12,668,28,0.66,1.31,dialkyl ether
mobley_3398536, c1ccc(cc1)I, iodobenzene,-1.74,0.6,-1.06,0.03, 10.1021/ct050097l, 10.1021/acs.jced.7b00104," Experimental uncertainty not presently available, so assigned a default value.  ",-1.43,0.15,-1.93,-0.5,0,0.19,13,754,29,0.31,0.68,aryl iodide
mobley_3414356, CCCC(C)(C)O, 2-methylpentan-2-ol,-3.92,0.6,-2.78,0.03, 10.1021/ct050097l, 10.1021/acs.jced.7b00104," Experimental uncertainty not presently available, so assigned a default value.  ",-1.83,0.1,-2.22,-0.39,0.01,1.7,13,667,28,2.09,1.14,tertiary alcohol
mobley_3425174, C(F)Cl, chloro-fluoro-methane,-0.77,0.6,-0.17,0.02, 10.1021/ct050097l, 10.1021/acs.jced.7b00104," Experimental uncertainty not presently available, so assigned a default value.  ",-0.46,0.07,-0.6,-0.14,0.02,0.17,9,668,28,0.31,0.6,alkyl fluoride
mobley_3452749, Cc1cccc(c1C)C," 1,2,3-trimethylbenzene",-1.21,0.6,-0.88,0.03, 10.1021/ct050097l, 10.1021/acs.jced.7b00104," Experimental uncertainty not presently available, so assigned a default value.  ",0.29,0.07,-0.22,-0.51,0.02,0.99,15,667,28,1.5,0.33,aromatic
mobley_349850, Cc1ccc(cc1)C(=O)C, 1-(p-tolyl)ethanone,-4.7,0.6,-4.91,0.03, 10.1021/ct050097l, 10.1021/acs.jced.7b00104," Experimental uncertainty not presently available, so assigned a default value.  ",-4.25,0.07,-4.76,-0.51,0.01,0.06,16,753,29,0.45,0.21,ketone
mobley_3515580, COc1ccccc1O, 2-methoxyphenol,-5.94,0.1,-4.75,0.04, SAMPL4_Guthrie, 10.1021/acs.jced.7b00104," Experimental uncertainty not presently available, so assigned a default value.  ",-3.3,0.52,-3.74,-0.44,0.01,2.2,15,667,28,2.64,1.19,phenol or hydroxyhetarene
mobley_352111, CC(=O)OCCOC(=O)C, 2-acetoxyethyl acetate,-6.34,0.6,-8.29,0.04, 10.1021/ct050097l, 10.1021/acs.jced.7b00104," Experimental uncertainty not presently available, so assigned a default value.  ",-7.42,0.1,-7.85,-0.43,0.01,1.51,16,664,28,1.08,1.95,carboxylic acid ester
mobley_3525176, CCCCCc1ccccc1, pentylbenzene,-0.23,0.6,-0.09,0.02, 10.1021/ct050097l, 10.1021/acs.jced.7b00104," Experimental uncertainty not presently available, so assigned a default value.  ",0.93,0.09,0.36,-0.57,0.02,0.59,17,751,29,1.16,0.14,aromatic
mobley_3546460, CCCCCCO, hexan-1-ol,-4.4,0.6,-3,0.03, 10.1021/ct050097l, 10.1021/acs.jced.7b00104," Experimental uncertainty not presently available, so assigned a default value.  ",-3.61,0.04,-4,-0.39,0.01,0.4,13,667,28,0.79,1.4,primary alcohol
mobley_3572203, CCCCCOC(=O)CC, pentyl propanoate,-2.11,0.6,-2.18,0.03, 10.1021/ct050097l, 10.1021/acs.jced.7b00104," Experimental uncertainty not presently available, so assigned a default value.  ",-1.1,0.06,-1.6,-0.5,0.01,0.51,16,751,29,1.01,0.07,carboxylic acid ester
mobley_3573480, CCCCCC(=O)C, heptan-2-one,-3.04,0.6,-2.94,0.03, 10.1021/ct050097l, 10.1021/acs.jced.7b00104," Experimental uncertainty not presently available, so assigned a default value.  ",-2.9,0.08,-3.33,-0.43,0,0.29,14,666,28,0.14,0.1,ketone
mobley_3589456, COC(CCl)(OC)OC," 2-chloro-1,1,1-trimethoxy-ethane",-4.59,0.6,-3.64,0.03, 10.1139/v80-201, 10.1021/acs.jced.7b00104," Experimental uncertainty not presently available, so assigned a default value.  ",-5.56,0.55,-6.03,-0.47,0.01,1.44,15,663,28,0.97,0.95,alkyl chloride
mobley_36119, CCCCCCCCO, octan-1-ol,-4.09,0.6,-2.69,0.03, 10.1021/ct050097l, 10.1021/acs.jced.7b00104," Experimental uncertainty not presently available, so assigned a default value.  ",-3.19,0.2,-3.7,-0.51,0.01,0.39,15,751,29,0.9,1.4,primary alcohol
mobley_3639400, CCCCCl, 1-chlorobutane,-0.16,0.6,0.99,0.02, 10.1021/ct050097l, 10.1021/acs.jced.7b00104," Experimental uncertainty not presently available, so assigned a default value.  ",1.27,0.14,0.96,-0.31,0,1.12,11,667,28,1.43,1.15,alkyl chloride
mobley_3663158, c1ccc2cc(ccc2c1)O, naphthalen-2-ol,-8.11,0.6,-7.85,0.03, 10.1021/ct050097l, 10.1021/acs.jced.7b00104," Experimental uncertainty not presently available, so assigned a default value.  ",-5.93,0.08,-6.51,-0.58,0.02,1.6,17,664,28,2.18,0.26,phenol or hydroxyhetarene
mobley_3682850, C1CCC(=O)CC1, cyclohexanone,-4.91,0.6,-4.18,0.03, 10.1021/ct050097l, 10.1021/acs.jced.7b00104," Experimental uncertainty not presently available, so assigned a default value.  ",-3.07,0.09,-3.41,-0.34,0.02,1.5,13,669,28,1.84,0.73,ketone
mobley_3686115, CCOC(C)OCC," 1,1-diethoxyethane",-3.28,0.2,-1.79,0.04, 10.1021/jm070549+, 10.1021/acs.jced.7b00104," Topology and coordinate files re-generated 10/9/13 from original .mol2 files.  Experimental uncertainty not presently available, so assigned a default value.  Experimental uncertainty estimate updated to 0.2 as of v0.2 to match uncertainty estimate given in Nicholls et al. paper.  ",-2.3,0.11,-2.69,-0.39,0.01,0.59,14,667,28,0.98,1.49,acetal
mobley_3690931, CCCC(=O)OCCC, propyl butanoate,-2.28,0.6,-2.75,0.03, 10.1021/ct050097l, 10.1021/acs.jced.7b00104," Experimental uncertainty not presently available, so assigned a default value.  ",-2.13,0.05,-2.55,-0.42,0.01,0.27,15,665,28,0.15,0.47,carboxylic acid ester
mobley_3709920, CCCCCCCC=C, non-1-ene,2.06,0.6,3,0.03, 10.1021/ct050097l, 10.1021/acs.jced.7b00104," Experimental uncertainty not presently available, so assigned a default value.  ",2.61,0.1,2.11,-0.5,0.01,0.05,15,844,30,0.55,0.94,alkene
mobley_3715043, Cc1ccc(c2c1cccc2)C," 1,4-dimethylnaphthalene",-2.82,0.6,-3.08,0.03, 10.1021/ct050097l, 10.1021/acs.jced.7b00104," Experimental uncertainty not presently available, so assigned a default value.  ",-1.31,0.04,-1.96,-0.65,0.01,0.86,18,663,28,1.51,0.26,aromatic
mobley_3727287, C1=CC(=O)C=CC1=O, quinone,-6.5,0.2,-6.96,0.03, 10.1039/P29900000291, 10.1021/acs.jced.7b00104, Experimental uncertainty as suggested by 10.1039/P29900000291 -- 0.2 kcal/mol.  ,-7.13,0.02,-7.52,-0.39,0.01,1.02,14,667,28,0.63,0.46,ketone
mobley_3738859, CCCCCBr, 1-bromo-pentane,-0.1,0.2,0.82,0.03, 10.1039/P29900000291, 10.1021/acs.jced.7b00104, Experimental uncertainty as suggested by 10.1039/P29900000291 -- 0.2 kcal/mol.  ,0.29,0.04,-0.11,-0.4,0.01,0.01,12,665,28,0.39,0.92,alkyl bromide
mobley_3746675, CC(=C)c1ccccc1, isopropenylbenzene,-1.24,0.6,-0.65,0.03, 10.1021/ct050097l, 10.1021/acs.jced.7b00104," Experimental uncertainty not presently available, so assigned a default value.  ",-1.34,0.09,-1.82,-0.48,0.04,0.58,15,665,28,0.1,0.59,alkene
mobley_3761215, CC(Cl)(Cl)Cl," 1,1,1-trichloroethane",-0.19,0.6,0.51,0.02, 10.1021/ct050097l, 10.1021/acs.jced.7b00104," Experimental uncertainty not presently available, so assigned a default value.  ",-0.48,0.07,-0.8,-0.32,0.01,0.61,11,662,28,0.29,0.7,halogen derivative
mobley_3762186, C(Cl)Cl, dichloromethane,-1.31,0.6,0.04,0.02, 10.1021/ct050097l, 10.1021/acs.jced.7b00104," Experimental uncertainty not presently available, so assigned a default value.  ",0.49,0.04,0.26,-0.23,0.01,1.57,9,667,28,1.8,1.35,alkyl chloride
mobley_3775790, Cn1cccc1, 1-methylpyrrole,-2.89,0.6,-2.37,0.02, 10.1021/ct050097l, 10.1021/acs.jced.7b00104," Experimental uncertainty not presently available, so assigned a default value.  ",-1.87,0.05,-2.2,-0.33,0.01,0.69,12,669,28,1.02,0.52,aromatic
mobley_3777264, c1cc(cc(c1)[N+](=O)[O-])N, 3-nitroaniline,-8.84,0.6,-8.2,0.03, 10.1021/ct050097l, 10.1021/acs.jced.7b00104," Experimental uncertainty not presently available, so assigned a default value.  ",-6.42,0.07,-6.95,-0.53,0.02,1.89,16,666,28,2.42,0.64,primary amine
mobley_3802803, CCCCCCO[N+](=O)[O-], hexyl nitrate,-1.66,0.1,-1.6,0.02, SAMPL4_Guthrie, 10.1021/acs.jced.7b00104," Experimental uncertainty not presently available, so assigned a default value.  ",-0.25,0.11,-0.77,-0.52,0,0.89,16,666,28,1.41,0.06,nitrate
mobley_3843583, c1ccc2c(c1)cccc2N, naphthalen-1-amine,-7.28,0.6,-7.78,0.03, 10.1021/ct050097l, 10.1021/acs.jced.7b00104," Experimental uncertainty not presently available, so assigned a default value.  ",-5.36,0.05,-5.96,-0.6,0.03,1.32,17,666,28,1.92,0.5,primary amine
mobley_3867265, CC(=O)C, acetone,-3.8,0.6,-3.51,0.02, 10.1021/ct050097l, 10.1021/acs.jced.7b00104," Experimental uncertainty not presently available, so assigned a default value.  ",-4.37,0.04,-4.57,-0.2,0.02,0.77,10,671,28,0.57,0.29,ketone
mobley_3968043, C1CCC(=O)C1, cyclopentanone,-4.7,0.6,-3.89,0.02, 10.1021/ct050097l, 10.1021/acs.jced.7b00104," Experimental uncertainty not presently available, so assigned a default value.  ",-1.75,0.04,-2.05,-0.3,0,2.65,12,668,28,2.95,0.81,ketone
mobley_3968739, COC(=O)c1ccccc1, methyl benzoate,-3.92,0.6,-4.92,0.03, 10.1021/ct050097l, 10.1021/acs.jced.7b00104," Experimental uncertainty not presently available, so assigned a default value.  ",-2.93,0.12,-3.39,-0.46,0.01,0.53,16,664,28,0.99,1,carboxylic acid ester
mobley_3969312, c1ccc(cc1)C=O, benzaldehyde,-4.02,0.6,-5.06,0.03, 10.1021/ct050097l, 10.1021/acs.jced.7b00104," Experimental uncertainty not presently available, so assigned a default value.  ",-3.1,0.04,-3.46,-0.36,0.01,0.56,14,667,28,0.92,1.04,aldehyde
mobley_397645, CCOC(=O)c1ccccc1, ethyl benzoate,-3.64,0.6,-4.6,0.03, 10.1021/ct050097l, 10.1021/acs.jced.7b00104," Experimental uncertainty not presently available, so assigned a default value.  ",-2.49,0.08,-2.99,-0.5,0.02,0.65,17,843,30,1.15,0.96,carboxylic acid ester
mobley_3976574, c1cc2c(cc1Cl)Oc3c(c(c(c(c3Cl)Cl)Cl)Cl)O2," 1,2,3,4,7-pentachlorodibenzo-p-dioxin",-4.15,1,-2.31,0.04, 10.1007/s10822-012-9568-8, 10.1021/acs.jced.7b00104," Experimental uncertainty not presently available, so assigned a default value.  ",-2.58,0.05,-3.56,-0.98,0.01,0.59,25,1214,34,1.57,1.84,diaryl ether
mobley_3980099, c1cc(c(c(c1)Cl)Cl)Cl," 1,2,3-trichlorobenzene",-1.24,0.6,-0.51,0.03, 10.1021/ct050097l, 10.1021/acs.jced.7b00104," Experimental uncertainty not presently available, so assigned a default value.  ",-1.14,0.08,-1.61,-0.47,0.01,0.37,15,749,29,0.1,0.73,aryl chloride
mobley_3982371, CC(=O)OC, methyl acetate,-3.13,0.6,-3.83,0.02, 10.1021/ct050097l, 10.1021/acs.jced.7b00104," Experimental uncertainty not presently available, so assigned a default value.  ",-3.65,0.04,-3.85,-0.2,0.02,0.72,11,669,28,0.52,0.7,carboxylic acid ester
mobley_3999471, CC(Cl)Cl," 1,1-dichloroethane",-0.84,0.6,0.19,0.02, 10.1021/ct050097l, 10.1021/acs.jced.7b00104," Experimental uncertainty not presently available, so assigned a default value.  ",-0.18,0.06,-0.46,-0.28,0.02,0.38,10,667,28,0.66,1.03,alkyl chloride
mobley_4013838, CC(C)C(=O)C(C)C," 2,4-dimethylpentan-3-one",-2.74,0.6,-2.63,0.03, 10.1021/ct050097l, 10.1021/acs.jced.7b00104," Experimental uncertainty not presently available, so assigned a default value.  ",-6.27,0.05,-6.7,-0.43,0.01,3.96,14,667,28,3.53,0.11,ketone
mobley_4035953, Cc1ccccc1O, o-cresol,-5.9,0.2,-5.08,0.03, 10.1039/P29900000291, 10.1021/acs.jced.7b00104, Experimental uncertainty as suggested by 10.1039/P29900000291 -- 0.2 kcal/mol.  ,-4,0.04,-4.41,-0.41,0.01,1.49,14,667,28,1.9,0.82,phenol or hydroxyhetarene
mobley_4039055, c1c(c(=O)[nH]c(=O)[nH]1)Br, 5-bromouracil,-18.17,0.55,-17.3,0.03, 10.1007/s10822-010-9350-8, 10.1021/acs.jced.7b00104," Experimental uncertainty not presently available, so assigned a default value.  ",-13.9,0.06,-14.43,-0.53,0.01,3.74,15,664,28,4.27,0.87,aryl bromide
mobley_4043951, CCCC=C, pent-1-ene,1.68,0.6,2.53,0.02, 10.1021/ct050097l, 10.1021/acs.jced.7b00104," Experimental uncertainty not presently available, so assigned a default value.  ",1.76,0.08,1.48,-0.28,0.01,0.2,11,669,28,0.08,0.85,alkene
mobley_4043987, CCCCC(C)C, 2-methylhexane,2.93,0.6,2.89,0.03, 10.1021/ct050097l, 10.1021/acs.jced.7b00104," Experimental uncertainty not presently available, so assigned a default value.  ",3.24,0.14,2.86,-0.38,0.02,0.07,13,665,28,0.31,0.04,alkane
mobley_4059279, CN1CCN(CC1)C," 1,4-dimethylpiperazine",-7.58,0.6,-7.87,0.03, 10.1139/v91-2, 10.1021/acs.jced.7b00104," Experimental uncertainty not presently available, so assigned a default value.  ",-6.64,0.44,-7.06,-0.42,0.01,0.52,14,668,28,0.94,0.29,tertiary amine
mobley_4149784, c1cc2c(cc1Cl)Oc3ccc(cc3O2)Cl," 2,7-dichlorodibenzo-p-dioxin",-3.67,0.12,-3.32,0.04, 10.1007/s10822-012-9568-8, 10.1021/acs.jced.7b00104," Experimental uncertainty not presently available, so assigned a default value.  ",-2.43,0.04,-3.24,-0.81,0.01,0.43,22,1222,34,1.24,0.35,diaryl ether
